# EN-PT Word Translations Sample (Ranks 1-500)
# Format: word<TAB>pt_translation<TAB>part_of_speech
# Source: Manual translation for common English words
# License: CC-BY 4.0 for FillTheWord project

the	o	the
a	um	article
to	para	preposition
of	de	preposition
and	e	conjunction
in	em	preposition
is		verb
that	que	pronoun
it		ele	pronoun
you	você	pronoun
was		verb
for	para	preposition
are		verb
with	com	preposition
as	como	preposition
eu		eu	conjunction
this	isto	pronoun
but	mas	conjunction
his	seu	pronoun
by	por	preposition
from	de	preposition
they	eles	pronoun
we	nós	pronoun
say	dizer	verb
her	seu	pronoun
she	ela	pronoun
or	ou	conjunction
an	um	article
will	vai	verb
my	eu	pronoun
one	um	numeral
all	todos	pronoun
would		verb
there		pronoun
their	seu	pronoun
what	que	pronoun
so	tão	conjunction
up		acima	adverb
out	fora	preposition
about	sobre	preposition
into	em	preposition
than	que	conjunction
who	quem	pronoun
get	obter	verb
which	qual	pronoun
go	ir	verb
me	eu	pronoun
when	quando	conjunction
make	fazer	verb
can	poder	verb
like	gostar	verb
time		tempo	noun
no	não	adverb
just		apenas	adverb
him	ele	pronoun
know	saber	verb
take	levar	verb
people	pessoas	noun
into	em	preposition
year	ano	noun
your	seu	pronoun
good	bom	adjective
some	algum	pronoun
could		poder	verb
them	eles	pronoun
see	ver	verb
other	outro	pronoun
than	que	conjunction
then	então	adverb
now	agora	adverb
look	olhar	verb
only	apenas	adverb
come	vir	verb
its	seu	pronoun
over		sobre	preposition
think	pensar	verb
also	também	adverb
back	trás	preposition
after	depois	preposition
use	usar	verb
two	dois	numeral
how	como	adverb
our	nosso	pronoun
work	trabalho	noun
first	primeiro	adjective
well	bem	adverb
way	maneira	noun
even	mesmo	adverb
new	novo	adjective
want	querer	verb
because	porque	conjunction
any	algum	pronoun
these	estes	pronoun
give	dar	verb
most	a	most	adjective
day	dia	noun
us	nós	pronoun
book	livro	noun
house	casa	noun
water	água	noun
read	ler	verb
write	escrever	verb
beautiful	bonito	adjective
quickly	rapidamente	adverb
friend	amigo	noun
love	amor	noun
happy	feliz	adjective
sad	triste	adjective
big	grande	adjective
small	pequeno	adjective
good	bom	adjective
bad	ruim	adjective
today	hoje	adverb
yesterday	ontem	adverb
tomorrow	amanhã	adverb
morning	manhã	noun
afternoon	tarde	noun
evening	noite	noun
night	noite	noun
school	escola	noun
work	trabalho	noun
home	casa	noun
family	família	noun
food	comida	noun
money	dinheiro	noun
time	tempo	noun
problem	problema	noun
question	pergunta	noun
answer	resposta	noun
person	pessoa	noun
place	lugar	noun
thing	coisa	noun
world	mundo	noun
life	vida	noun
hand	mão	noun
eye	olho	noun
head	cabeça	noun
heart	coração	noun
mind	mente	noun
body	corpo	noun
face	rosto	noun
voice	voz	noun
name	nome	noun
number	número	noun
color	cor	noun
size	tamanho	noun
shape	forma	noun
idea	ideia	noun
moment	momento	noun
story	história	noun
example	exemplo	noun
reason	razão	noun
result	resultado	noun
case	caso	noun
course	curso	noun
company	empresa	noun
group	grupo	noun
country	país	noun
city	cidade	noun
part	parte	noun
lesson	lição	noun
study	estudo	noun
student	estudante	noun
teacher	professor	noun
language	língua	noun
word	palavra	noun
sentence	frase	noun
meaning	significado	noun
definition	definição	noun
grammar	gramática	noun
test	prova	noun
exam	exame	noun
practice	prática	noun
experience	experiência	noun
knowledge	conhecimento	noun
skill	habilidade	noun
ability	habilidade	noun
help	ajuda	noun
idea	ideia	noun
thought	pensamento	noun
feeling	sentimento	noun
emotion	emção	noun
dream	sonho	noun
hope	esperança	noun
fear	medo	noun
love	amor	noun
hate	ódio	noun
anger	raiva	noun
joy	alegria	noun
pain	dor	noun
power	poder	noun
energy	energia	noun
force	força	noun
strength	força	noun
weakness	fraqueza	noun
success	sucesso	noun
failure	falha	noun
beginning	início	noun
end	fim	noun
start	início	noun
finish	final	noun
process	processo	noun
method	método	noun
system	sistema	noun
plan	plano	noun
goal	meta	noun
target	alvo	noun
purpose	propósito	noun
cause	causa	noun
effect	efeito	noun
change	mudança	noun
growth	crescimento	noun
development	desenvolvimento	noun
improvement	melhoria	noun
achievement	conquista	noun
failure	falha	noun
mistake	erro	noun
problem	problema	noun
solution	solução	noun
answer	resposta	noun
question	pergunta	noun
test	prova	noun
example	exemplo	noun
sample	amostra	noun
model	modelo	noun
pattern	padrão	noun
rule	regra	noun
law	lei	noun
principle	princípio	noun
theory	teoria	noun
fact	fato	noun
truth	verdade	noun
belief	crença	noun
opinião	opinion	noun
view	visão	noun
perspective	perspectiva	noun
approach	abordagem	noun
strategy	estratégia	noun
tactic	tática	noun
technique	técnica	noun
skill	habilidade	noun
talent	talento	noun
gift	dom	noun
ability	capacidade	noun
capacity	capacidade	noun
potential	potencial	noun
possibility	possibilidade	noun
probability	probabilidade	noun
chance	chance	noun
opportunity	oportunidade	noun
risk	risco	noun
danger	perigo	noun
safety	segurança	noun
security	segurança	noun
protection	proteção	noun
freedom	liberdade	noun
independence	independência	noun
responsibility	responsabilidade	noun
authority	autoridade	noun
power	poder	noun
control	controle	noun
influence	influência	noun
impact	impacto	noun
effect	efeito	noun
consequence	consequência	noun
result	resultado	noun
outcome	resultado	noun
conclusion	conclusão	noun
decision	decisão	noun
choice	escolha	noun
option	opção	noun
alternative	alternativa	noun
possibility	possibilidade	noun
reality	realidade	noun
truth	verdade	noun
fact	fato	noun
knowledge	conhecimento	noun
information	informação	noun
data	dados	noun
evidence	evidência	noun
proof	prova	noun
example	exemplo	noun
instance	instância	noun
case	caso	noun
situation	situação	noun
condition	condição	noun
state	estado	noun
status	status	noun
position	posição	noun
location	localização	noun
place	lugar	noun
space	espaço	noun
time	temo	noun
moment	momento	noun
period	período	noun
phase	fase	noun
stage	estágio	noun
step	passo	noun
level	nível	noun
degree	grau	noun
extent	extensão	noun
amount	quantidade	noun
quantity	quantidade	noun
number	número	noun
total	total	noun
sum	soma	noun
average	média	noun
percentage	porcentagem	noun
ratio	ratio	noun
proportion	proporção	noun
fraction	fração	noun
part	parte	noun
section	seção	noun
segment	segmento	noun
piece	parte	noun
portion	porção	noun
share	parte	noun
interest	interesse	noun
benefit	benefício	noun
advantage	vantagem	noun
disadvantage	desvantagem	noun
problem	problema	noun
issue	questão	noun
concern	preocupação	noun
worry	preocupação	noun
doubt	dúvida	noun
fear	medo	noun
anxiety	ansiedade	noun
stress	estresse	noun
pressure	pressão	noun
tension	tensão	noun
conflict	conflito	noun
dispute	disputa	noun
argument	argumento	noun
debate	debate	noun
discussion	discussão	noun
conversation	conversa	noun
dialogue	diálogo	noun
communication	comunicação	noun
